"SOURCE NODE ID","TARGET NODE ID","SCENE ID"
"2","1","33"
"20","1","33"
"2","1","34"
"20","1","34"
"14","1","30"
"21","1","30"
"21","1","33"
"2","1","30"
"20","1","29"
"2","1","19"
"2","1","29"
"19","1","29"
"14","1","16"
"15","1","16"
"12","1","19"
"4","1","16"
"10","1","12"
"9","1","12"
"2","1","12"
"16","1","16"
"2","1","1"
"13","1","12"
"12","1","12"
"11","1","12"
"2","1","86"
"22","1","86"
"25","1","86"
"29","1","86"
"32","1","86"
"2","1","68"
"29","1","68"
"65","1","68"
"29","1","73"
"64","1","73"
"6","1","64"
"65","1","64"
"2","1","57"
"22","1","57"
"26","1","57"
"27","1","57"
"64","1","57"
"28","1","57"
"22","1","56"
"2","1","56"
"64","1","56"
"26","1","56"
"2","1","45"
"65","1","56"
"22","1","45"
"14","1","45"
"22","1","44"
"2","1","44"
"20","1","36"
"2","1","36"
"2","1","41"
"21","1","36"
"45","1","205"
"25","1","189"
"14","1","205"
"39","1","205"
"7","1","205"
"12","1","205"
"64","1","479"
"2","1","205"
"14","1","132"
"17","1","132"
"2","1","164"
"2","1","132"
"29","1","143"
"39","1","143"
"2","1","143"
"14","1","143"
"29","1","112"
"2","1","112"
"37","1","113"
"2","1","125"
"2","1","124"
"2","1","122"
"64","1","120"
"29","1","132"
"35","1","105"
"29","1","105"
"22","1","105"
"2","1","105"
"38","1","116"
"17","1","116"
"6","1","116"
"2","1","116"
"39","1","466"
"29","1","466"
"45","1","466"
"43","1","466"
"4","1","466"
"61","1","466"
"62","1","466"
"46","1","466"
"58","1","466"
"14","1","479"
"29","1","479"
"63","1","466"
"2","1","479"
"12","1","466"
"25","1","466"
"2","1","466"
"1","2","112"
"14","2","110"
"29","2","103"
"22","2","103"
"29","2","109"
"3","2","109"
"29","2","108"
"29","2","112"
"17","2","116"
"6","2","116"
"1","2","116"
"36","2","109"
"64","2","114"
"29","2","117"
"14","2","117"
"38","2","116"
"29","2","91"
"1","2","86"
"29","2","95"
"22","2","91"
"29","2","86"
"32","2","86"
"22","2","86"
"25","2","86"
"25","2","87"
"29","2","87"
"4","2","87"
"22","2","87"
"29","2","105"
"35","2","105"
"1","2","105"
"22","2","105"
"65","2","114"
"14","2","115"
"29","2","115"
"3","2","130"
"14","2","130"
"29","2","130"
"29","2","127"
"1","2","122"
"1","2","125"
"1","2","124"
"14","2","141"
"14","2","141"
"14","2","141"
"14","2","141"
"29","2","141"
"29","2","141"
"29","2","141"
"29","2","141"
"14","2","136"
"22","2","48"
"1","2","56"
"1","2","44"
"22","2","44"
"14","2","45"
"22","2","45"
"1","2","41"
"1","2","45"
"21","2","36"
"22","2","43"
"1","2","36"
"20","2","36"
"1","2","34"
"20","2","34"
"20","2","33"
"21","2","33"
"1","2","33"
"20","2","31"
"21","2","30"
"14","2","30"
"1","2","30"
"20","2","29"
"19","2","29"
"1","2","29"
"12","2","19"
"1","2","19"
"13","2","12"
"12","2","12"
"11","2","12"
"10","2","12"
"9","2","12"
"1","2","12"
"4","2","84"
"14","2","84"
"25","2","84"
"22","2","95"
"24","2","81"
"25","2","81"
"29","2","81"
"29","2","77"
"29","2","68"
"65","2","68"
"14","2","81"
"22","2","81"
"30","2","60"
"22","2","65"
"64","2","65"
"1","2","68"
"6","2","59"
"64","2","57"
"29","2","59"
"22","2","59"
"26","2","57"
"22","2","57"
"28","2","57"
"27","2","57"
"6","2","55"
"22","2","53"
"1","2","57"
"22","2","55"
"26","2","56"
"22","2","56"
"65","2","56"
"64","2","56"
"47","2","278"
"55","2","278"
"43","2","278"
"45","2","278"
"54","2","247"
"12","2","241"
"12","2","247"
"45","2","247"
"47","2","320"
"56","2","320"
"43","2","320"
"45","2","320"
"4","2","278"
"12","2","278"
"59","2","320"
"60","2","320"
"12","2","320"
"4","2","320"
"3","2","320"
"63","2","466"
"42","2","320"
"41","2","320"
"33","2","320"
"25","2","320"
"45","2","466"
"43","2","466"
"39","2","466"
"29","2","466"
"62","2","466"
"61","2","466"
"58","2","466"
"46","2","466"
"29","2","148"
"1","2","164"
"29","2","180"
"1","2","132"
"14","2","132"
"17","2","132"
"29","2","132"
"1","2","1"
"65","2","188"
"14","2","192"
"29","2","192"
"1","2","143"
"14","2","143"
"29","2","143"
"39","2","143"
"14","2","148"
"42","2","201"
"41","2","201"
"29","2","204"
"43","2","201"
"43","2","214"
"44","2","204"
"14","2","188"
"51","2","214"
"43","2","280"
"12","2","287"
"7","2","205"
"1","2","205"
"14","2","205"
"12","2","205"
"45","2","205"
"39","2","205"
"64","2","479"
"29","2","479"
"14","2","479"
"1","2","479"
"25","2","466"
"12","2","466"
"4","2","466"
"1","2","466"
"12","3","320"
"4","3","320"
"2","3","320"
"29","3","109"
"36","3","109"
"29","3","130"
"2","3","109"
"2","3","130"
"14","3","130"
"59","3","320"
"60","3","320"
"47","3","320"
"56","3","320"
"43","3","320"
"45","3","320"
"41","3","320"
"42","3","320"
"25","3","320"
"33","3","320"
"6","3","8"
"33","3","102"
"4","3","102"
"4","3","63"
"25","3","100"
"25","3","63"
"6","3","63"
"5","3","8"
"4","3","8"
"5","4","8"
"3","4","8"
"6","4","8"
"23","4","47"
"25","4","63"
"25","4","47"
"24","4","47"
"14","4","16"
"1","4","16"
"16","4","16"
"15","4","16"
"2","4","320"
"58","4","309"
"63","4","466"
"62","4","466"
"61","4","466"
"58","4","466"
"46","4","466"
"45","4","466"
"45","4","320"
"43","4","320"
"42","4","320"
"41","4","320"
"33","4","320"
"25","4","320"
"12","4","320"
"3","4","320"
"39","4","466"
"43","4","466"
"25","4","466"
"29","4","466"
"2","4","466"
"12","4","466"
"1","4","466"
"33","4","102"
"3","4","102"
"2","4","87"
"33","4","101"
"25","4","111"
"14","4","111"
"36","4","111"
"29","4","111"
"25","4","84"
"53","4","244"
"45","4","244"
"55","4","278"
"47","4","278"
"22","4","140"
"65","4","191"
"25","4","191"
"42","4","293"
"60","4","320"
"59","4","320"
"56","4","320"
"47","4","320"
"45","4","278"
"43","4","278"
"12","4","278"
"2","4","278"
"29","4","87"
"2","4","84"
"22","4","87"
"25","4","87"
"3","4","63"
"6","4","63"
"14","4","84"
"3","5","8"
"6","5","8"
"4","5","8"
"5","6","8"
"1","6","64"
"25","6","63"
"4","6","63"
"3","6","63"
"64","6","71"
"34","6","104"
"38","6","116"
"17","6","116"
"4","6","8"
"3","6","8"
"22","6","55"
"2","6","55"
"29","6","59"
"22","6","59"
"2","6","59"
"65","6","64"
"1","6","116"
"2","6","116"
"12","7","205"
"2","7","205"
"1","7","205"
"8","7","11"
"45","7","205"
"39","7","205"
"14","7","205"
"7","8","11"
"10","9","12"
"2","9","12"
"1","9","12"
"13","9","12"
"12","9","12"
"11","9","12"
"1","10","12"
"11","10","12"
"12","10","12"
"2","10","12"
"9","10","12"
"13","10","12"
"13","11","12"
"10","11","12"
"12","11","12"
"2","11","12"
"9","11","12"
"1","11","12"
"41","12","320"
"33","12","320"
"43","12","320"
"42","12","320"
"3","12","320"
"2","12","320"
"25","12","320"
"4","12","320"
"61","12","466"
"58","12","466"
"63","12","466"
"62","12","466"
"43","12","466"
"39","12","466"
"46","12","466"
"45","12","466"
"45","12","247"
"54","12","247"
"2","12","241"
"2","12","287"
"45","12","278"
"47","12","278"
"55","12","278"
"2","12","247"
"60","12","320"
"2","12","278"
"4","12","278"
"43","12","278"
"45","12","320"
"47","12","320"
"56","12","320"
"59","12","320"
"13","12","12"
"11","12","12"
"10","12","12"
"4","12","466"
"2","12","466"
"29","12","466"
"25","12","466"
"1","12","466"
"1","12","205"
"2","12","205"
"7","12","205"
"14","12","205"
"39","12","205"
"45","12","205"
"1","12","19"
"2","12","19"
"1","12","12"
"2","12","12"
"9","12","12"
"2","13","12"
"1","13","12"
"11","13","12"
"12","13","12"
"9","13","12"
"10","13","12"
"65","14","188"
"2","14","192"
"29","14","192"
"40","14","197"
"1","14","143"
"2","14","143"
"29","14","143"
"39","14","143"
"2","14","148"
"29","14","148"
"29","14","170"
"2","14","136"
"1","14","132"
"2","14","132"
"17","14","132"
"29","14","132"
"29","14","141"
"29","14","141"
"29","14","141"
"29","14","141"
"2","14","141"
"2","14","141"
"2","14","141"
"2","14","141"
"2","14","130"
"29","14","119"
"29","14","130"
"3","14","130"
"29","14","115"
"2","14","115"
"29","14","117"
"2","14","117"
"4","14","111"
"2","14","110"
"29","14","111"
"25","14","111"
"2","14","84"
"36","14","111"
"2","14","81"
"22","14","81"
"4","14","84"
"25","14","84"
"29","14","81"
"1","14","45"
"24","14","81"
"25","14","81"
"1","14","30"
"2","14","30"
"2","14","45"
"22","14","45"
"4","14","16"
"15","14","16"
"21","14","30"
"1","14","16"
"16","14","16"
"45","14","205"
"2","14","188"
"12","14","205"
"39","14","205"
"2","14","205"
"7","14","205"
"64","14","479"
"1","14","205"
"2","14","479"
"29","14","479"
"39","14","476"
"1","14","479"
"14","15","16"
"4","15","16"
"1","15","16"
"16","15","16"
"14","16","16"
"4","16","16"
"1","16","16"
"15","16","16"
"29","17","132"
"18","17","131"
"29","17","131"
"1","17","116"
"1","17","132"
"2","17","132"
"14","17","132"
"18","17","26"
"38","17","116"
"6","17","116"
"2","17","116"
"17","18","131"
"29","18","131"
"17","18","26"
"1","19","29"
"2","19","29"
"20","19","29"
"2","20","31"
"1","20","29"
"2","20","33"
"21","20","33"
"2","20","29"
"19","20","29"
"2","20","34"
"1","20","34"
"1","20","33"
"21","20","36"
"2","20","36"
"1","20","36"
"2","21","33"
"20","21","33"
"20","21","36"
"1","21","33"
"14","21","30"
"1","21","30"
"2","21","30"
"1","21","36"
"2","21","36"
"2","22","43"
"1","22","44"
"2","22","44"
"64","22","56"
"26","22","56"
"2","22","56"
"1","22","56"
"65","22","54"
"64","22","57"
"28","22","57"
"27","22","57"
"14","22","45"
"2","22","45"
"1","22","45"
"2","22","48"
"2","22","53"
"6","22","55"
"2","22","55"
"65","22","56"
"4","22","140"
"2","22","87"
"4","22","87"
"2","22","103"
"29","22","103"
"29","22","105"
"35","22","105"
"1","22","105"
"2","22","105"
"1","22","86"
"2","22","86"
"2","22","91"
"29","22","91"
"2","22","95"
"29","22","95"
"25","22","87"
"29","22","87"
"29","22","81"
"25","22","81"
"24","22","81"
"14","22","81"
"2","22","81"
"32","22","86"
"29","22","86"
"25","22","86"
"26","22","57"
"2","22","57"
"1","22","57"
"29","22","59"
"6","22","59"
"2","22","59"
"2","22","65"
"64","22","65"
"24","23","47"
"25","23","47"
"4","23","47"
"2","24","81"
"14","24","81"
"23","24","47"
"25","24","47"
"29","24","81"
"4","24","47"
"22","24","81"
"25","24","81"
"47","25","320"
"56","25","320"
"59","25","320"
"60","25","320"
"41","25","320"
"42","25","320"
"43","25","320"
"45","25","320"
"14","25","111"
"29","25","111"
"36","25","111"
"3","25","100"
"1","25","189"
"4","25","191"
"65","25","191"
"4","25","111"
"45","25","466"
"43","25","466"
"58","25","466"
"46","25","466"
"12","25","466"
"4","25","466"
"39","25","466"
"29","25","466"
"4","25","320"
"3","25","320"
"33","25","320"
"12","25","320"
"62","25","466"
"61","25","466"
"2","25","320"
"63","25","466"
"1","25","466"
"2","25","466"
"4","25","63"
"6","25","63"
"14","25","84"
"3","25","63"
"24","25","47"
"4","25","47"
"23","25","47"
"29","25","87"
"22","25","87"
"4","25","87"
"2","25","87"
"29","25","86"
"22","25","86"
"2","25","86"
"1","25","86"
"24","25","81"
"29","25","81"
"2","25","84"
"4","25","84"
"32","25","86"
"2","25","81"
"14","25","81"
"22","25","81"
"1","26","56"
"64","26","57"
"22","26","56"
"2","26","56"
"22","26","57"
"2","26","57"
"28","26","57"
"27","26","57"
"1","26","57"
"64","26","56"
"65","26","56"
"2","27","57"
"1","27","57"
"26","27","57"
"22","27","57"
"64","27","57"
"28","27","57"
"2","28","57"
"1","28","57"
"26","28","57"
"22","28","57"
"64","28","57"
"27","28","57"
"24","29","81"
"22","29","81"
"31","29","66"
"25","29","81"
"2","29","77"
"32","29","86"
"14","29","81"
"2","29","81"
"2","29","86"
"1","29","86"
"25","29","86"
"22","29","86"
"22","29","95"
"2","29","95"
"22","29","91"
"2","29","91"
"2","29","87"
"4","29","87"
"22","29","87"
"25","29","87"
"1","29","105"
"2","29","105"
"22","29","105"
"35","29","105"
"1","29","112"
"2","29","112"
"2","29","103"
"22","29","103"
"4","29","111"
"14","29","111"
"25","29","111"
"36","29","111"
"2","29","108"
"36","29","109"
"3","29","109"
"2","29","109"
"14","29","117"
"2","29","117"
"14","29","115"
"2","29","115"
"14","29","130"
"3","29","130"
"2","29","130"
"2","29","127"
"14","29","119"
"14","29","141"
"14","29","141"
"14","29","141"
"14","29","141"
"2","29","141"
"2","29","141"
"2","29","141"
"2","29","141"
"17","29","132"
"2","29","132"
"14","29","132"
"18","29","131"
"1","29","132"
"2","29","180"
"17","29","131"
"14","29","148"
"14","29","170"
"39","29","143"
"2","29","148"
"2","29","143"
"14","29","143"
"14","29","192"
"1","29","143"
"44","29","204"
"2","29","192"
"22","29","59"
"65","29","68"
"1","29","73"
"1","29","68"
"2","29","68"
"2","29","59"
"6","29","59"
"64","29","73"
"30","29","61"
"4","29","466"
"12","29","466"
"25","29","466"
"39","29","466"
"43","29","466"
"45","29","466"
"46","29","466"
"58","29","466"
"61","29","466"
"62","29","466"
"63","29","466"
"1","29","479"
"2","29","479"
"14","29","479"
"64","29","479"
"2","29","204"
"2","29","466"
"1","29","466"
"2","30","60"
"29","30","61"
"29","31","66"
"29","32","86"
"22","32","86"
"25","32","86"
"1","32","86"
"2","32","86"
"4","33","101"
"56","33","320"
"47","33","320"
"45","33","320"
"43","33","320"
"4","33","102"
"3","33","102"
"60","33","320"
"59","33","320"
"4","33","320"
"3","33","320"
"2","33","320"
"42","33","320"
"41","33","320"
"25","33","320"
"12","33","320"
"6","34","104"
"1","35","105"
"2","35","105"
"22","35","105"
"29","35","105"
"29","36","109"
"4","36","111"
"14","36","111"
"25","36","111"
"29","36","111"
"2","36","109"
"3","36","109"
"1","37","113"
"17","38","116"
"6","38","116"
"1","38","116"
"2","38","116"
"12","39","466"
"25","39","466"
"2","39","466"
"4","39","466"
"14","39","476"
"1","39","466"
"62","39","466"
"63","39","466"
"58","39","466"
"61","39","466"
"45","39","466"
"46","39","466"
"29","39","466"
"43","39","466"
"14","39","143"
"29","39","143"
"7","39","205"
"12","39","205"
"1","39","205"
"2","39","205"
"1","39","143"
"2","39","143"
"14","39","205"
"45","39","205"
"14","40","197"
"4","41","320"
"3","41","320"
"25","41","320"
"12","41","320"
"2","41","320"
"47","41","320"
"56","41","320"
"59","41","320"
"60","41","320"
"33","41","320"
"42","41","320"
"43","41","320"
"45","41","320"
"2","41","201"
"42","41","201"
"43","41","201"
"56","42","318"
"12","42","320"
"4","42","320"
"3","42","320"
"2","42","320"
"43","42","201"
"60","42","320"
"57","42","304"
"56","42","316"
"4","42","293"
"45","42","288"
"45","42","225"
"2","42","201"
"41","42","201"
"25","42","320"
"33","42","320"
"41","42","320"
"43","42","320"
"45","42","320"
"47","42","320"
"56","42","320"
"59","42","320"
"29","43","466"
"39","43","466"
"12","43","466"
"25","43","466"
"2","43","466"
"4","43","466"
"1","43","466"
"2","43","320"
"3","43","320"
"62","43","466"
"63","43","466"
"58","43","466"
"61","43","466"
"45","43","466"
"46","43","466"
"12","43","320"
"4","43","320"
"42","43","201"
"41","43","201"
"2","43","201"
"51","43","214"
"2","43","214"
"45","43","224"
"55","43","278"
"47","43","278"
"45","43","278"
"4","43","278"
"12","43","278"
"2","43","280"
"2","43","278"
"60","43","320"
"45","43","232"
"56","43","320"
"59","43","320"
"45","43","320"
"47","43","320"
"41","43","320"
"42","43","320"
"25","43","320"
"33","43","320"
"2","44","204"
"29","44","204"
"43","45","224"
"12","45","205"
"14","45","205"
"39","45","205"
"42","45","225"
"48","45","210"
"1","45","205"
"2","45","205"
"7","45","205"
"43","45","278"
"47","45","278"